3.671122193336486816e-01,7.610173225402832031e-01,6.655879474237735849e-07
4.374781548976898193e-01,7.157346606254577637e-01,-4.457387328147888184e-02
4.916657209396362305e-01,6.277676224708557129e-01,-6.648045778274536133e-02
5.152485966682434082e-01,5.443325042724609375e-01,-8.471456915140151978e-02
5.429865121841430664e-01,4.838837385177612305e-01,-1.028287708759307861e-01
4.415941834449768066e-01,4.918247163295745850e-01,-4.805931821465492249e-02
4.745640754699707031e-01,3.869159221649169922e-01,-8.160445839166641235e-02
4.888373017311096191e-01,3.154954910278320312e-01,-1.056599691510200500e-01
4.974914193153381348e-01,2.575890123844146729e-01,-1.223427131772041321e-01
3.864071369171142578e-01,4.782446026802062988e-01,-4.940407723188400269e-02
3.940058946609497070e-01,3.464044928550720215e-01,-8.106669038534164429e-02
3.950017094612121582e-01,2.605974972248077393e-01,-1.038550585508346558e-01
3.924568295478820801e-01,1.874689161777496338e-01,-1.189372986555099487e-01
3.368642032146453857e-01,4.983446896076202393e-01,-5.572875216603279114e-02
3.231842517852783203e-01,3.811298608779907227e-01,-8.934328705072402954e-02
3.147442638874053955e-01,3.039567470550537109e-01,-1.109994649887084961e-01
3.097923994064331055e-01,2.357932031154632568e-01,-1.246273741126060486e-01
2.909489870071411133e-01,5.459432601928710938e-01,-6.551840901374816895e-02
2.568614482879638672e-01,4.735959470272064209e-01,-9.781720489263534546e-02
2.345672100782394409e-01,4.240936934947967529e-01,-1.127624511718750000e-01
2.177486866712570190e-01,3.740987777709960938e-01,-1.212540864944458008e-01
